郑康业，香港演员，代表作品为《猛鬼舞厅》《猴形扣手》《七十二家房客》等。[1] 	郑康业 香港 演员 代表作品 猛鬼 舞厅 猴形 扣手 七十二家 房客
钱理群（1939年1月30-），男，生于重庆，祖籍浙江杭州。北京大学中文系资深教授，博士生导师，并任清华大学中文系兼职教授，中国现代文学研究会副会长，中国鲁迅学会理事，《中国现代文学研究丛刊》第三任主编（与吴福辉共同担当）。[1] 主要从事中国现代文学研究，鲁迅、周作人研究与现代知识分子精神史研究。代表作有《心灵的探寻》《与鲁迅相遇》《周作人传》《周作人论》《大小舞台之间——曹禺戏剧新论》《丰富的痛苦——堂吉诃德和哈姆雷特的东移》《1948：天地玄黄》等。20世纪80年代以来中国最具影响力的人文学者之一。他以对20世纪中国思想、文学和社会的精深研究，特别是对20世纪中国知识分子历史与精神的审察，得到海内外的重视与尊重。钱理群一直关注教育问题，多有撰述并为此奔走。他被认为是当代中国批判知识分子的标志性人物。[2] 	钱理群 生于 重庆 祖籍 浙江 杭州 北京大学 中文系 资深 教授 博士生 导师 并任 清华大学 中文系 兼职 教授 中国 现代文学 研究会 副会长 中国 鲁迅 学会 理事 中国 现代文学 研究 丛刊 第三任 主编 吴福辉 共同 担当 主要 从事 中国 现代文学 研究 鲁迅 周作人 研究 现代 知识分子 精神 研究 代表作 心灵 探寻 鲁迅 相遇 周作人 周作人 大小 舞台 之间 曹禺 戏剧 新论 丰富 痛苦 堂吉诃德 哈姆雷特 东移 天地 玄黄 世纪 年代 以来 中国 最具 影响力 人文 学者 世纪 中国 思想 文学 社会 精深 研究 特别 世纪 中国 知识分子 历史 精神 审察 得到 海内外 重视 尊重 钱理群 关注 教育 问题 多有 撰述 为此 奔走 认为 当代 中国 批判 知识分子 标志性 人物
湖南双峰人，蔡和森与向警予之子，1924年5月出生在湖南湘雅医学院。中国钢铁研究总院炼铁研究室主任，技术顾问。中国金属学会第四届理事，炼铁学会副主任、副理事长，武汉钢铁学院顾问和兼职教授等职。[1] 2015年4月15日，俄罗斯驻华大使杰尼索夫代表俄罗斯联邦总统普京，向32名为苏联卫国战争(1941-1945年)作出贡献的中国公民，颁发了“伟大卫国战争胜利70周年”纪念奖章。蔡博是获奖章人之一。[2] 	湖南 双峰 蔡和森 向警予 之子 出生 湖南 湘雅医学院 中国 钢铁 研究 总院 炼铁 研究室 主任 技术顾问 中国金属学会 第四届 理事 炼铁 学会 主任 副理事长 武汉 钢铁 学院 顾问 兼职 教授 俄罗斯 驻华大使 杰尼索夫 代表 俄罗斯联邦 总统 普京 名为 苏联 卫国战争 作出贡献 中国 公民 颁发 伟大 卫国战争 胜利 周年 纪念 奖章 蔡博是 获奖 章人
张彻（ZhāngChè，1924年-2002年6月22日），出生于浙江杭州，成长于上海，导演、编剧。1940年，在中央大学（现南京大学）修读政治时参加文化运动委员会而得到张道藩的器重，担任文运会专员，参加中央文化运动委员会从事戏剧工作，后就任上海市文化运动委员会秘书。1948年与蒋经国结下友谊，为国防部总政治部简任专员，军阶至上校，并借此在台湾执导电影。[1] 2002年5月30日，张彻因肺积水入香港将军澳医院，6月22日清晨7时30分，因肺炎在该医院病逝，享年79岁，其没有子女，遗孀为梁丽嫦。[2] 	张彻 Zh ngCh 生于 浙江 杭州 成长 上海 导演 编剧 中央大学 南京大学 修读 政治 参加 文化 运动 委员会 得到 张道 器重 担任 文运会 专员 参加 中央 文化 运动 委员会 从事 戏剧 工作 就任 上海市 文化 运动 委员会 秘书 蒋经国 结下 友谊 国防部 总政治部 简任 专员 军阶 上校 借此 台湾 执导 电影 张彻 积水 香港 将军 医院 清晨 肺炎 医院 病逝 享年 没有 子女 遗孀 梁丽嫦
高远，1933年出生，原名蒋家琪，江苏苏州人，中国香港男演员，运动员，商人。凤凰影业当家小生1955年参演《阖第光临》，1963年凭借《金鹰》《雷雨》走红。	高远 出生 原名 蒋家 江苏 苏州人 中国香港 男演员 运动员 商人 凤凰 影业 当家 小生 参演 阖第光临 金鹰 雷雨 走红
刘洪沂，著名相声表演艺术家，师承相声大师王世臣先生，笑星及书画大师李嘉存的搭档，相声明星李伟建的师父。刘洪沂擅长柳活，与侯耀文在京剧的造诣上，并称于相声界。刘洪沂在相声教学及传统相声的挖掘和整理中，做出了卓越的贡献。被陶莉慧称为“实诚的传统相声火炬手”。	刘洪沂 著名 相声 表演艺术家 师承 相声 大师 世臣 先生 笑星 书画 大师 李嘉存 搭档 相声 明星 李伟建 师父 刘洪沂 擅长 柳活 侯耀文 京剧 造诣 并称 相声界 刘洪沂 相声 教学 传统 相声 挖掘 整理 做出 卓越 贡献 陶莉慧 称为 实诚 传统 相声 火炬手
吴宇森，1946年9月22日出生于中国广东省广州市，华语影视导演、编剧、演员、监制。1968年担任剧情片《死节》的编剧，从而进入电影圈。1973年执导个人首部电影《铁汉柔情》。1977年开始以喜剧片为发展主线。1983年加入新艺城电影公司。1986年执导的枪战片《英雄本色》奠定其暴力美学的电影风格，并获得第6届香港电影金像奖最佳影片奖[1] 。1988年创办香港电影导演会。1990年凭借动作片《喋血双雄》获得第9届香港电影金像奖最佳导演奖[2] ；同年出演动作片《勇闯天下》。1993年赴美国好莱坞发展。1997年凭借动作片《变脸》获得全美华裔艺术基金会金环奖[3] 、第24届土星奖最佳导演奖[4] 。2000年执导的谍战片《碟中谍2》获得全球电影年度票房冠军[5] 。2004年获得香港政府颁发的铜紫荆星章[6] 。2006年回归华语影坛发展，并担任动作片《天堂口》的监制[7] 。2009年6月，获得第12届上海国际电影节华语电影杰出贡献奖[4] [8] ；同年凭借战争片《赤壁》获得第13届中国电影华表奖优秀境外华裔导演奖[9-10] 。2010年获得第67届威尼斯国际电影节终身成就奖[11] 。2015年获得第28届东京国际电影节武士奖[12] 。2016年执导动作片《追捕》[13] 。	吴宇森 日出 生于 中国 广东省 广州市 华语 影视 导演 编剧 演员 监制 担任 剧情片 死节 编剧 进入 电影圈 执导 个人 首部 电影 铁汉 柔情 喜剧片 发展 主线 加入 新艺城 电影 公司 执导 枪战 英雄本色 奠定 暴力 美学 电影 风格 获得 香港电影 金像奖 最佳 影片奖 创办 香港电影 导演 动作片 喋血 双雄 获得 香港电影 金像奖 最佳 导演奖 同年 出演 动作片 勇闯 天下 赴美国 好莱坞 发展 动作片 变脸 获得 美华裔 艺术 基金会 金环奖 土星 最佳 导演奖 执导 谍战片 碟中谍 获得 全球 电影 年度 票房 冠军 获得 香港政府 颁发 紫荆 星章 回归 华语 影坛 发展 担任 动作片 天堂 监制 获得 上海 国际 电影节 华语 电影 杰出 贡献奖 同年 战争片 赤壁 获得 中国 电影 华表奖 优秀 境外 华裔 导演奖 获得 威尼斯 国际 电影节 终身 成就奖 获得 东京国际 电影节 武士 执导 动作片 追捕
陈丽华，女，满族，1941年出生于北京颐和园，正黄旗世家，美国佐治亚州萨凡那艺术设计学院荣誉博士，现任全国政协委员，富华国际集团董事局主席，中国紫檀博物馆馆长，北京满学会终身名誉会长。陈丽华的富华国际集团在北京拥有数家房地产企业，包括长安俱乐部、丽苑公寓等，总投资超过35亿。2012年入选美国《时代》杂志年度最有影响力人物百强榜。陈丽华的丈夫迟重瑞为电视剧《西游记》中唐僧角色的扮演者，两人于1990年结婚[1] 。2015年10月，陈丽华以财富495亿元居胡润女富豪榜第一位[2] 。2016年10月，陈丽华以505亿元财富，位列胡润百富榜第20名、胡润房地产富豪榜第三名；同月，陈丽华成为胡润女富豪榜中国女首富。2017年10月，陈丽华以505亿元居胡润女企业家榜第四名[3] 、胡润房地产企业家榜第五名[4] 。2018年，陈丽华以505亿元，在胡润女企业家榜排名第三位、LEXUS雷克萨斯·胡润百富榜中排名第37位[5-6] 。2019年，陈丽华在福布斯全球亿万富豪榜排名第298位[7] 、胡润百富榜排名第49位[8] 、胡润女企业家榜排名第5位[9] 、福布斯中国400富豪榜排名第49位[10] 。2020年2月26日，以530亿元人民币财富名列《2020世茂深港国际中心·胡润全球富豪榜》第262位。[11] 2020年3月16日，胡润研究院发布《2020胡润全球白手起家女富豪榜》，陈丽华排名第6位。[12] 	陈丽华 满族 年出 生于 北京 颐和园 正黄旗 世家 美国 佐治亚州 萨凡 艺术设计 学院 荣誉 博士 现任 全国政协 委员 富华 国际 集团 董事局 主席 中国 紫檀 博物馆 馆长 北京 学会 终身 名誉会长 陈丽华 富华 国际 集团 北京 拥有 数家 房地产 企业 包括 长安 俱乐部 丽苑 公寓 投资 超过 入选 美国 时代 杂志 年度 最有 影响力 人物 百强 陈丽华 丈夫 重瑞为 电视剧 西游记 唐僧 角色 扮演者 两人于 结婚 陈丽华 财富 亿元 胡润 富豪榜 第一位 陈丽华 亿元 财富 位列 胡润 百富榜 胡润 房地产 富豪榜 第三名 同月 陈丽华 成为 胡润 富豪榜 中国 首富 陈丽华 亿元 胡润 企业家 第四名 胡润 房地产 企业家 第五名 陈丽华 亿元 胡润 企业家 排名 第三位 LEXUS 雷克萨斯 胡润 百富榜 排名第 陈丽华 福布斯 全球 亿万富豪 排名第 胡润 百富榜 排名第 胡润 企业家 排名第 福布斯 中国 富豪榜 排名第 亿元 人民币 财富 名列 世茂 深港 国际 中心 胡润 全球 富豪榜 胡润 研究院 发布 胡润 全球 白手起家 富豪榜 陈丽华 排名第
张曼玲，戏剧家。于1951年入戏曲实验学校（后名中国戏曲学校）插班学习青衣、花旦、刀马旦，得王瑶卿、筱翠花、华慧麟、程玉菁等名家传授。2018年5月，被评定为第五批国家级非物质文化遗产代表性项目代表性传承人。	张曼玲 戏剧家 年入 戏曲 实验学校 后名 中国戏曲 学校 插班 学习 青衣 花旦 刀马旦 王瑶卿 筱翠花 华慧麟 程玉菁 名家 传授 被评 定为 第五批 国家级 物质 文化遗产 代表性 项目 代表性 传承
李欧梵（1942年10月10日－），男，国际知名文化研究学者，著名教授、作家、文化评论员，现任香港中文大学讲座教授、哈佛大学荣休教授，中央研究院院士、香港人文学院创院院士、香港科技大学人文荣誉博士。[1-4] 李欧梵生于河南太康，毕业于台湾大学外文系，期间曾与同学白先勇等人创办《现代文学》杂志。其后负笈美国哈佛大学攻读中国思想史，师从史华慈和费正清等大师，获颁博士学位。[4-5] 李欧梵主要研究领域包括现代文学及文化研究、现代小说和中国电影，其散文及评论常见于《亚洲周刊》、《信报》、《明报月刊》及《瞄》。[4] 	李欧 国际 知名 文化 研究 学者 著名 教授 作家 文化 评论员 现任 香港中文大学 讲座 教授 哈佛大学 荣休 教授 中央研究院 院士 香港 人文学院 创院 院士 香港科技大学 人文 荣誉 博士 李欧 生于 河南 太康 毕业 台湾大学 外文系 期间 同学 白先勇 创办 现代文学 杂志 其后 负笈 美国哈佛大学 攻读 中国 思想史 师从 史华慈 费正清 大师 获颁 博士学位 李欧 主要 研究 领域 包括 现代文学 文化 研究 现代 小说 中国 电影 散文 评论 常见于 亚洲 周刊 信报 明报 月刊
龚全珍，女，汉族，1923年12月生，山东烟台人，中共党员，西北大学教育系毕业。开国将军甘祖昌夫人、江西省萍乡市南陂小学原校长。1957年8月，龚全珍随甘祖昌回家乡江西省莲花县务农并一直从事乡村教师工作。离休后，又扶贫助学，开办“龚全珍工作室”服务社区、群众。著有纪实作品《我和老伴甘祖昌》[1] 。习近平总书记先后两次亲切接见龚全珍，亲切地称她为“老阿姨”[2] 。2013年9月，龚全珍获得第四届全国道德模范称号。2014年2月，荣获“感动中国”2013年度十大人物[3] ；同年10月，被授予全国优秀共产党员[4] 。2016年，龚全珍当选江西省首届“感动江西十大教育年度人物”[5] ；12月，龚全珍家庭被表彰为第一届全国文明家庭[6] 。2017年11月，龚全珍获得全国未成年人思想道德建设工作先进工作者奖项[7] 。2019年7月26日，龚全珍被表彰为“全国模范退役军人”[8] 。2019年9月25日，被授予“最美奋斗者”荣誉称号[9] 。	龚全珍 汉族 月生 山东 烟台 中共党员 西北大学 教育系 毕业 开国 将军 甘祖昌 夫人 江西省 萍乡市 南陂 小学 校长 龚全珍 随甘祖昌 回家 江西省 莲花县 务农 从事 乡村 教师 工作 离休 扶贫 助学 开办 龚全珍 工作室 服务 社区 群众 纪实 作品 老伴 甘祖昌 习近平 总书记 先后 两次 亲切 接见 龚全珍 亲切 地称 阿姨 龚全珍 获得 第四届 全国 道德 模范 称号 荣获 感动 中国 年度 十大 人物 同年 授予 全国 优秀 共产党员 龚全珍 当选 江西省 首届 感动 江西 十大 教育 年度人物 龚全珍 家庭 表彰 第一届 全国 文明 家庭 龚全珍 获得 全国 未成年人 思想道德 建设 工作 先进 工作者 奖项 龚全珍 表彰 全国 模范 退役军人 授予 最美 奋斗者 荣誉称号
